isolabel_ext,status,cover,overlay
CM-ES-Bertoua2,0,b31j b31k b31p b31s b31t b31y b31z b33j b33k b33n b33p,
CM-ES-BetareOya,0,aq bg bq,
CM-ES-Diang,0,b2m b2v b3h,
CM-ES-Dimako,0,b0v b1r b2m b3h,
CM-ES-Doumaintang,0,b0h b0m b0r b0v b1h b2h b2m,
CM-ES-Doume,0,b0m b0v b1h b1r b2m,
CM-ES-GariGombo,0,b5h b5m eem eev efh efr efv fah far,
CM-ES-GarouaBoulai,0,bcr bcv beh bem ber bev,
CM-ES-Kentzou,0,b5h b5m b5r b5v b7h b7m,
CM-ES-Kette,0,b6h b6m b6r b6v b7h b7r,
CM-ES-Lomie,0,ddm ddv e8h e8m e8r e8v e9h e9m e9r e9v eah eam ebh ebm ecr eeh eem,
CM-ES-Mandjou,0,b1r b1v b3h b3m b3r b3v b6h b9h b9m,
CM-ES-Mbang,0,b1h b1m b1v b4h b4m b4r b4v b5h ebv eer eev efr,
CM-ES-Mboma,0,a57y a57z a5dn a5dp a5dy a5dz b02t b08j b08k b08n b08p b08s b08t,
CM-ES-Messamena,0,a5m b0h dfh dfm dfr dfv eah eam ear eav,
CM-ES-Messock,0,e9m e9r e9v ech ecm ecr ecv eeh eem,
CM-ES-Mindourou,0,b1h b1m e8v eah eam eav ebh ebm ebr ebv eeh eem eer eev,
CM-ES-Mouloundou,0,eg fg,
CM-ES-Ndelele,0,b4m b4v b5h b5m b5r b5v efr,
CM-ES-Ngoura,0,b3m b3v b6h b6r b6v b9m bch bcm,
CM-ES-Ngoyla,0,e3h e3m e3r e3v e6h e6m e6r e6v e9h e9m ech ecm,
CM-ES-Nguelebok,0,b1h b1m b1r b1v b4r,
CM-ES-Nguelemendouka,0,a5m a5v a7m b0r b2h b2m,
CM-ES-Ouli,0,b6v b7r bcm bdh,
CM-ES-Salapoumbe,0,e6v e7r e7v ecm edh edm f2r f2v f3r f8h f8m f9h,
CM-ES-Somalomo,0,ddv dfm e8r e8v eah eam,
CM-ES-Yokadouma,0,eq fq,
CM-LT-Bare,0,96v 97r 9cm 9dh,
CM-LT-Bonalea,0,94r 94v,
CM-LT-Dibamba,0,94m 95h 95m,
CM-LT-Dibombari,0,94h 94m 94r 94v,
CM-LT-Dizangue,0,94m 95h cev cfr,
CM-LT-Douala1,0,943n 944t 946j 946k 946s 946z,
CM-LT-Douala2,0,944t 944y 946j 946k 946n,
CM-LT-Douala3,0,944y 944z 945s 945t 946j 946k 946n 946p 946z 947j 947k 947s 947t,
CM-LT-Douala4,0,941y 942p 943j 943k 943n 943p 943s 943y 943z 946j 946k 946s 946t 946y 946z,
CM-LT-Douala5,0,946k 946p 946s 946y 946z 947s 947t 94cn 94cp 94dj 94dk,
CM-LT-Douala6,0,91m 94h 94m cer cev,
CM-LT-Ebone,0,96m 96v 97h 97r,
CM-LT-Edea1,0,95h ccv cem cfh cfr,
CM-LT-Edea2,0,95h 95m 95v cfr cfv,
CM-LT-Loum,0,96m 96v 97h 97r,
CM-LT-Manjo,0,96m 96v,
CM-LT-Massok,0,95m 95v a0h a0r,
CM-LT-Mbanga,0,94r 94v 96h 96m,
CM-LT-Melong,0,96v 9cm 9dh,
CM-LT-Mombo,0,961k 961p 961s 961t 961y 961z 963j 963n,
CM-LT-Mouanko,0,ceh cem cer cev cfh cfr,
CM-LT-Ndobian,0,97r 97v 9dh 9dm,
CM-LT-Ndom,0,a0r a0v a2h a2m,
CM-LT-Ngambe,0,95v a0r a2h,
CM-LT-Ngwei,0,95m cfh cfm cfr cfv,
CM-LT-Nkondjock,0,97h 97m 97r 97v,
CM-LT-Nkongsamba1,0,96dy 96fn 96fp 978s 978t 978y 978z 97aj 97ak 97an 97ap 97bj 97bk,
CM-LT-Nkongsamba2,0,96fp 96fy 96fz 97ak 97as,
CM-LT-Nkongsamba3,0,96fn 96fp 96fs 96ft 96fy 96fz,
CM-LT-Nyanon,0,a0h a0m a0r a0v,
CM-LT-Penja,0,961p 961y 961z 963n 963p 963z 964j 964k 964n 964p 964s 964t 964y 964z 966j 966k 966n 966s,
CM-LT-Pouma,0,9g ag cq dq,
CM-LT-Yabassi,0,94m 94v 95h 95r 95v 96m 97h 97m,
CM-LT-Yingui,0,95h 95m 95r 95v 97h 97m 97v a0r a2h,
CM-NO-Bascheo,0,32r 32v 38h 38m,
CM-NO-Beka,0,25h 25m 25v 27m 30r 6em 6ev 6fr 6fv,
CM-NO-Bibemi,0,31r 31v 32m 33h 33m 33v 36h 36r,
CM-NO-Dembo,0,32v 33r 38m 39h,
CM-NO-Figuil,0,33v 39m 39v 3ch 3cr,
CM-NO-Gachiga,0,32h 32m 32r 32v,
CM-NO-Garoua1,0,324y 324z 325s 325t 326n 326p 326z 327j,
CM-NO-Garoua2,0,325t 326n 326p 326z 327j 327k 327n 327p 327s,
CM-NO-Garoua3,0,324n 324p 324z 325j 325k 325n 325p 325s 325t 325y 325z 327j 327n 327p 330k 330s 330t,
CM-NO-Guider,0,33r 33v 39h 39m 39r 39v,
CM-NO-Lagdo,0,30m 30v 31h 31r 31v 7av 7br,
CM-NO-Madingring,0,35m 7dr 7dv 7em 7fh 7fm 7fr 7fv 8ar,
CM-NO-MayoHourna,0,27m 32h 32m 32r,
CM-NO-MayoOulo,0,33r 38m 38v 39h 39m 39r,
CM-NO-Ngong,0,30h 30m 30r 30v 31r 32h 32m 33h,
CM-NO-Pitoa,0,32m 32v 33h 33m 33r 33v,
CM-NO-Poli,0,25m 30h 30m 6dm 6dr 6dv 6em 6ev 6fh 6fm 6fr 6fv 78h 78m 78r 78v 7ah 7am 7ar 7av,
CM-NO-ReyBouba,0,31h 31m 31r 31v 33m 34h 34m 34r 34v 35h 35m 35r 36h 7er 7ev 7fr 7fv,
CM-NO-Tchollire,0,3g 7g 7q,
CM-NO-Touboro,0,7g 7q 8g 8q,
CM-NO-Touroua,0,25m 25v 27m 30h 30r 32h,
CM-NW-Ako,0,57m 60r 60v 62h 62r,
CM-NW-Andek,0,9e6y 9e7s 9e7t 9e7y 9ecj 9eck 9ecn 9ecp 9ecs 9ecz 9edj 9edk 9edn 9edp 9eds 9edt 9edy 9edz,
CM-NW-Babessi,0,9fv aah aar,
CM-NW-Bafut,0,54m 55h 9ev 9fr,
CM-NW-Bali,0,9e7p 9e7z 9f2j 9f2k 9f2p 9f2s 9f2t 9f2y 9f2z 9f8n,
CM-NW-Balikumbat,0,9f6j 9f6k 9f6n 9f6p 9f6s 9f6t 9f6y 9f6z 9f7j 9f7k 9f7n 9f7p 9f7s 9f7t 9f7y 9f7z 9fcj 9fcn 9fdj aa2k aa2s,
CM-NW-Bamenda1,0,9f3s 9f3t 9f3y 9f3z 9f6s 9f6t 9f9j 9f9n,
