isolabel_ext,status,base_intlevel,cover,overlay,cover_order,overlay_order
CM-SU-Kribi1,1,,b6fS b6fT b6fY b6fZ bc5J bc5K bc5N bc5P bc5Y bc5Z bc7N bc7P bc7Y bc7Z bd2K bd2S bd2T bd2Z bd8J,,W X 1 2 8 9 B C G H U V Y Z K N P R 0,
CM-SU-Kribi2,1,,bc7Z bcdN bcdP bd2T bd8J bd8K bd8S bd8T bd8Y bd8Z,,Z B C P 0 1 4 5 6 7,
CM-SU-KyeOssi,1,,c30S c30T c30Y c30Z c31S c31T c31Y c31Z c32J c32K c32N c32P c33J c33K c33N c33P c33S c33Y,,4 5 6 7 D F G H J K L M S T U V W Y,
CM-SU-Lokoundje,1,,b6V b7R bcM bcV bdH bdM bdR bdV beM bfH bfM bfR,,V Y K M N P Q R T W X 0,
CM-SU-Lolodorf,1,,bdV c8R c8V caH caM,,R 2 3 8 9,
CM-SU-Maan,1,,b7H b7M b7V c2H c2M c2R c2V c8H c8M,,W X Z 8 9 B C 0 1,
CM-SU-Mengong,1,,c9H c9M c9R c9V,,4 5 6 7,
CM-SU-Meyomessala,1,,ccM ccR ccV cdH cdR ceM cfH,,K L M N Q T W,
CM-SU-Meyomessi,1,,c6V c7R ccM cdH,,V Y K N,
CM-SU-Mintom,1,,d2M d2R d2V d3H d3R d8H d8M d9H,,9 B C D G 0 1 4,
CM-SU-Mvangan,1,,c3M c3V c6H c6R c6V c9M ccH,,F H S U V 5 J,
CM-SU-Mvengue,1,,c8V c9R caM,,3 6 9,
CM-SU-Ngoulemakong,1,,c9R c9V ccR,,6 7 L,
CM-SU-Niete,1,,b7R b7V bdH bdM,,Y Z N P,
CM-SU-Olamze,1,,c20Y c20Z c21S c21T c21Y c21Z c22N c23J c23N c24S c24T c24Y c24Z c25S c25T c25Y c25Z c26J c26N c27J c27K c27N c27P c30S c30T c32J c32K c32P,,2 1 9 8 N C 0 3 B Q P 6 7 D F G H R L S T U V 4 5 J K M,
CM-SU-Oveng,1,,c6H c6M c6R c6V c7H c7R cdH,,S T U V W Y N,
CM-SU-Sangmelima,1,,c6R c6V c9M c9V ccH ccM ccR ccV,,U V 5 7 J K L M,
CM-SU-Zoetele,1,,c9V cbM ccR ccV ceH ceM,,7 F L M S T,
CM-SW-Akwaya,1,,41M 44H 44M 44R 8bH 8bM 8bR 8bV 8eH 8eR 8eV,,5 J K L D F G H S U V,
CM-SW-Alou,1,,8cdZ 8cfJ 8cfK 8cfN 8cfP 8cfS 8cfY 8cfZ 8d8T 8daJ 8daK 8daS 8daT 8daZ,,H S T U V W Y Z 5 J K N P R,
CM-SW-Bamusso,1,,81R 81V 83H 83M,,6 7 D F,
CM-SW-Bangem,1,,86R 86V 8cH 8cM,,U V J K,
CM-SW-Buea,1,,813P 813Y 816K 816P 816S 816T 816Y 816Z 817K 817S 817T 817Y 817Z 81cJ 81cN 81cP 81cY 81cZ 81dJ 81dK 81dN 81dP 81dS 81dT 81dY 81dZ 81eN 81fJ 842T 848J 848K,,V J K M N 5 Q R D W X Y Z U 2 3 6 7 8 9 B C T F G H L S P 0 1,
CM-SW-DikomeBalue,1,,833T 833Y 833Z 836S 836T 836Y 836Z 837S 837T 839J 839N 83cJ 83cK 83cN 83cP 83cS 83cY 83cZ 83dJ 83dK 83dS 83dT 83fJ,,C Y Z N P Q R W X 8 B 0 1 2 3 4 6 7 5 9 D F S,
CM-SW-EkondoTiti,1,,83H 83M 83R,,D F G,
CM-SW-Eyumodjock,1,,89H 89R 89V 8bH 8bM,,4 6 7 D F,
CM-SW-Idabato,1,,824K 824N 824P 824S 824T 824Y 824Z 825J 825K 825P 825S 825Y,,1 2 3 4 5 6 7 8 9 C D G,
CM-SW-Idenau,1,,813P 813S 813T 813Y 813Z 816S 816T 819J 819K 819N 819P 819S 819T 819Y 819Z 81cJ 81cK 81cN 81cP 81cS,,V W X J Z N 5 8 9 B C D F G H U 1 2 3 4,
CM-SW-Isanguele,1,,826P 826S 826T 826Y 826Z 827K 827S 827T 82cJ 82cK 82cN 82cP 82cY 82cZ 82dJ 82dK 82dN 82dP 82dS 82dT 82dY 82dZ 82eN 82fJ 838J 838K,,M N P Q R T W X 4 5 2 3 6 7 8 9 B C D F G H L S 0 1,
CM-SW-KomboAbedimo,1,,824P 824T 824Y 824Z 825K 825S 825T 826J 826K 826N 826P 826S 826Y 827J 827K 827S,,3 5 6 7 9 D F J K L M N Q S T W,
CM-SW-KomboItindi,1,,825Y 825Z 827J 827K 827N 827P 827S 827T 827Y 827Z 82dJ 82dN 830S 830T 830Y 830Z 832J 832K 832S 832T 838J 838K,,G H S T U V W X Y Z 8 B 4 5 6 7 J K N P 0 1,
CM-SW-Konye,1,,83M 83V 86H 86R 89M 8cH,,F H S U 5 J,
CM-SW-Kumba1,1,,81fT 81fY 81fZ 835J 835K 835N 835P 835S 835T 835Y 835Z 837J 837K 837N 837P 84aT 860J 860K 860S 860T 860Z 862J 862K 862N 862P 862S,,X Y Z 8 9 2 C D F G H S T U V P 0 1 4 5 7 J K L M N,
CM-SW-Kumba2,1,,862K 862P 862S 862T 862Y 862Z 863K 863S 863T 868J 868K 868N 868P 868Y 869J 869K,,K M N P Q R T B X 0 1 2 3 6 8 9,
CM-SW-Kumba3,1,,81fY 81fZ 84aS 84aT 84aY 84aZ 84bS 84bT 860J 860K 860N 860P 860S 860T 860Y 860Z 861K 861S 861T 862N 862P 863J 863K 863S,,Y Z N P Q H W X 0 1 J 3 4 5 6 7 9 K F L M S T B,
CM-SW-Limbe1,1,,815T 816N 816P 817J 817K 817N 817P 817S,,F L M S D U V W,
CM-SW-Limbe2,1,,813P 814T 816J 816K 816N 816P,,V 5 J K L M,
CM-SW-Limbe3,1,,814Y 814Z 815P 815S 815T 815Y 815Z 817J 817N 840K 840S,,6 7 C D F G H S U 1 4,
CM-SW-Mamfe,1,,89M 89V 8bH 8bM 8bR 8bV 8cH 8cR 8eH 8eM 8eR,,5 7 D F G H J L S T U,
CM-SW-Mbonge,1,,81R 81V 83M,,6 7 F,
CM-SW-Menji,1,,8ccN 8ccP 8ccY 8ccZ 8cdJ 8cdK 8cdN 8cdP 8cdS 8cdT 8cdY 8cdZ 8ceN 8cfJ 8cfK 8cfN 8d8T,,2 3 6 7 8 9 B C D F G H L S T U 5,
CM-SW-Mudemba,1,,82V 83R 83V 88M 89H 89R,,C G H 1 4 6,
CM-SW-Muyuka,1,,81dN 81dP 81dT 81dY 81dZ 81fJ 81fK 81fN 81fP 81fS 81fT 81fY 81fZ 835J 835N 848J 848K 848S 848T 848Z 84aJ 84aK 84aN 84aP 84aS 84aY,,B C F G H S T U V W X Y Z 8 2 0 1 4 5 7 J K L M N Q,
CM-SW-Nguti,1,,86R 89M 8cH 8cM 8cR 8cV,,U 5 J K L M,
CM-SW-Tiko,1,,815Y 815Z 817K 817N 817P 817S 817Y 817Z 840S 840T 842J 842K 842N 842P 842S 842T 842Y 842Z 843K 843S 843T 848J 848K 848N 848P 849J 849K,,G H D U V W Y Z 4 5 J K L M N P Q R T B X 0 1 2 S 8 9,
CM-SW-Tinto,1,,8cR 8cV 8eH 8eM,,L M S T,
CM-SW-Toko,1,,83R 83V 89H 89M 89R 89V,,G H 4 5 6 7,
CM-SW-Tombel,1,,86H 86M 86R 86V 8cH 8cM,,S T U V J K,
CM-SW-Wabane,1,,8cfS 8cfT 8cfY 8cfZ 8daT 8daZ 8e5N 8e5P 8e5Y 8e5Z 8f0J 8f0K 8f0N 8f0P 8f0S 8f0T 8f0Y 8f1J 8f1K,,W X Y Z P R B C G H 0 1 2 3 L 5 6 8 9,
