isolabel_ext,status,base_intlevel,cover,overlay,cover_order,overlay_order
CM-CE-Ngoro,1,,93H 93M 93R 93V 96H 96R 99H 99M 99R,,D F G H S U 4 5 6,
CM-CE-Ngoumou,1,,cb2Z cb3T cb8N cb8P cb8Y cb8Z cb9J cb9K cb9N cb9P cb9S cb9T cb9Y cbaN cbaP cbbJ cbbK,,R X 2 3 6 7 8 9 B C D F G L M S T,
CM-CE-Nguibassal,1,,905T 905Z 907J 907K 907N 907P 907S 907T 907Y 907Z 90dJ 90dN 90dP 912J 912K 912S 912T,,F H S T U 3 W X Y Z 8 B Q J 6 N P,
CM-CE-Nitoukou,1,,923N 923P 923Y 924T 926J 926K 926N 926P 926S 926T 926Y 927K 927S,,U V Y 5 J K L M N P Q T W,
CM-CE-NkolMetet,1,,cb5Y cb5Z cb7N cb7P cb7Y cb7Z ce0K ce0S ce0T ce0Y ce0Z ce2J ce2K ce2N ce2P ce2S ce2T ce2Y ce2Z ce3J ce3K ce3S,,G H U V Y Z 1 4 5 6 7 J K L M N P Q R S T W,
CM-CE-Nkolafamba,1,,915J 915N 915P 940J 940K 940N 940P cbeP cbeY cbeZ cbfN cbfP cbfS cbfT cbfY cbfZ ceaJ ceaK ceaS ceaT ceaY ceaZ,,8 B C T 1 2 3 M Q R U V W X Y 5 J K N P 4 L,
CM-CE-Nkoteng,1,,94R 94V 96H 96M 97H,,L M S T W,
CM-CE-Nsem,1,,97dY 97dZ 97eY 97fJ 97fK 97fN 97fP 97fS 97fY a28K a28S a28T a28Z a2aJ a2aK a2aN a2aP a2aS a2aT a2aY,,G H 0 S T U V W Y 1 4 5 7 J K L M N P Q,
CM-CE-Ntui,1,,91V 93M 94R 96H,,7 F L S,
CM-CE-Obala,1,,913P 913Y 913Z 914T 914Z 916J 916K 916N 916P 916S 916T 916Y 916Z 917J 917K 917S 917T 919P 91cJ 91cK 91cN 91cP 91cS 91cY 91dJ 91dK,,V Y Z 5 7 R K L M N P Q J S T W X C 0 1 2 3 4 6 8 9,
CM-CE-Okala,1,,907N 907P 911J 911K 911N 911P 911S 911T 911Y 911Z 912J 912K 912N 912P 912S 912Y 913J 913K 913N 913P 913S 913T 913Y 913Z 914J 914K 914S 914T 914Z 916J 916K,,U 3 8 9 B C D F G H J 6 L M N Q S T 2 V W X Y Z 0 1 4 5 7 R K,
CM-CE-Olanguina,1,,941N 941P 941S 941T 941Y 941Z 943N 944J 944K 944S 944T 944Z 946J 946K 946N 946P 946S 946Y,,V S D F G H U 0 1 4 5 7 J K L M N Q,
CM-CE-Ombessa,1,,930P 930Y 930Z 931K 931S 931T 931Y 931Z 932N 932P 933J 933K 933N 933P 933S 933T 933Y 933Z 939J 939N,,3 6 7 9 D F G H L M S T U V W X Y Z 8 B,
CM-CE-Saa,1,,919Y 919Z 91bN 91bP 91bY 91bZ 91cP 91cS 91cT 91cY 91cZ 91dT 91eJ 91eK 91eN 91eP 91eS 91eT 91eY 91eZ 91fJ 91fK 91fS 931N 931P 934J 934K 934N,,G H U V Y Z 3 4 5 6 7 F J K L M N P Q R S T W B C 0 1 2,
CM-CE-Soa,1,,914P 914S 914T 914Y 914Z 915J 915K 915N 915P 915S 915T 915Y 916N 916P 917J 917K 917N 917P 917S 917T 917Y,,3 4 5 6 7 8 9 B C N K J L M S T U V W X Y,
CM-CE-Yaounde1,1,,914N 914P 914S 914Y 914Z 915S,,2 3 4 6 7 N,
CM-CE-Yaounde2,1,,914J 914K 914N 914P 914S 914Y,,0 1 2 3 4 6,
CM-CE-Yaounde3,1,,914J 914N cbbN cbeJ cbeK cbeP cbeS cbeT cbeY cbeZ,,0 2 U 9 K M N P Q R,
CM-CE-Yaounde4,1,,914N 915J cbeK cbeP cbeS cbeY cbeZ cbfT,,2 8 K M N Q R X,
CM-CE-Yaounde5,1,,914N 914P 914Y 915J 915K,,2 3 6 8 9,
CM-CE-Yaounde6,1,,914J 914N cbeS cbeT,,0 2 N P,
CM-CE-Yaounde7,1,,911N 914J 914K cbeT,,B 0 1 P,
CM-CE-Yoko,1,,54H 93V 96H 96R 96V 97R 99H 99M 99R 99V 9bV 9cH 9cM 9cR 9cV 9dH 9dM 9dR 9dV 9eM 9eR 9eV 9fH 9fM 9fR 9fV a8H a8R aaH,,1 H S U V Y 4 5 6 7 9 J K L M N P Q R T B C W X 3 Z 0 2 8,
CM-EN-Blangoua,1,,0ceZ 0cfT 0e1N 0e1P 0e4J 0e4K 0e4N 0e4P 0e4S 0e4T 0e4Y 0e5J 0e5K 0e5N 0e5P 0e6J 0e6K,,R X B C 0 1 2 3 4 5 6 8 9 D 7 J K,
CM-EN-Bogo,1,,04M 05H 2eM 2eV 2fR,,K N T V Y,
CM-EN-Bourha,1,,28V 29R 2aM 2bH,,3 6 9 D,
CM-EN-Darak,1,,09V 0bM 0bV 0cR 0eH 0eM 0eR 0eV,,7 F H L S T U V,
CM-EN-Dargala,1,,2e3Y 2e3Z 2e4T 2e4Z 2e5T 2e5Z 2e6J 2e6K 2e6N 2e6P 2e6S 2e6T 2e6Y 2e6Z 2e7J 2e7K 2e7N 2e7P 2e7S 2e7T 2e7Y,,Y 1 5 7 F H J K L M N P Q R S T U V W X 0,
CM-EN-Datcheka,1,,2d3Y 2d3Z 2d6K 2d6S 2d6T 2d6Y 2d6Z 2d9N 2dcJ,,Y Z K N P Q R B 0,
CM-EN-Dziguilao,1,,2c7P 2c7S 2c7T 2c7Y 2c7Z 2cdN 2cdP 2d2K 2d2P 2d2S 2d2T 2d2Y 2d2Z 2d8J 2d8K 2d8N 2d8P 2d8S 2d8Y,,V W X Y Z B C K M N P Q R 0 1 2 3 4 6,
CM-EN-Fotokol,1,,09dN 09dP 09dY 0c2S 0c2T 0c2Y 0c2Z 0c3S 0c3T 0c3Z 0c8J 0c8K 0c8N 0c8P 0c8S 0c8T 0c8Y 0c8Z 0c9J 0c9K 0c9S 0c9T 0caJ 0caK 0caN 0caP,,B C G N P Q R W X Z 0 1 2 3 4 5 6 7 8 9 D F J K L M,
CM-EN-Gazawa,1,,2b5T 2b5Z 2b7N 2b7P 2b7S 2b7T 2b7Y 2b7Z 2bdJ 2bdN 2e0T 2e2J 2e2K 2e2S 2e2T,,R H U V W X Y Z 8 B 5 J K N P,
CM-EN-Gobo,1,,2dM 38H 38M 38R 38V,,P 0 1 2 3,
CM-EN-Goulfey,1,,0cM 0cV 0dH 0dR 0eH 0eM,,K M N Q S T,
CM-EN-Gueme,1,,2f1S 2f1T 2f1Y 2f1Z 2f3J 2f3K 2f3N 2f3P 2f4K 2f4N 2f4P 2f4S 2f4T 2f4Y 2f4Z 2f5J 2f5K 2f5S 2f5T 2f6J 2f6K 2f6N 2f6P 2f7J 2f7K,,D F G H S T U V 1 2 3 4 5 6 7 8 9 0 B J K L M C N,
CM-EN-Guere,1,,2d7T 2d7Y 2d7Z 2ddJ 2ddK 2ddN 2ddP 2ddY 2ddZ 2dfN 2dfP 2dfY 382T 388J 388K 388S 388T 38aJ 38aK 38aS,,X 2 Z 8 9 B C G H U V Y P 0 1 4 5 J K N,
CM-EN-Guidiguis,1,,2c6S 2c6T 2c6Y 2c6Z 2c7S 2c7T 2c7Z 2ccN 2ccP 2cdJ 2cdK 2cdN 2cdP 2cdS 2cdT 2cdY 2cdZ 2cfJ 2cfN 2d8K 2d8S 2d8T 2d8Y,,N P Q R W X Z 2 3 8 9 B C D F G H S U 1 4 5 6,
CM-EN-HileAlifa,1,,0caP 0caT 0caY 0caZ 0cbJ 0cbK 0cbN 0cbP 0cbS 0cbT 0cbY 0cbZ 0e0J 0e0N 0e0P 0e0Y 0e1J 0e1K 0e1N 0e1P 0e1S,,M P Q R S T U V W X Y Z 0 2 3 6 8 9 B C D,
CM-EN-Hina,1,,29aZ 29bK 29bP 29bS 29bT 29bY 29bZ 29eJ 29eK 29eN 29eP 29eS 29eT 29eY 29eZ 2b0N 2b1J 2b1K 2b1N 2b1P 2b1S 2b1Y 2b4J 2b4K 2b4N,,R T V W X Y Z J K L M N P Q U 7 8 9 B C D G 0 1 2,
CM-EN-Kaele,1,,2cH 2cM 2cR 2cV 2eH,,J K L M S,
CM-EN-KaiKai,1,,2fH 2fM 2fR 2fV,,W X Y Z,
CM-EN-Kalfou,1,,2dR 2dV 2fH 2fM,,Q R W X,
CM-EN-KarHay,1,,2d3T 2d3Z 2d8N 2d8P 2d9J 2d9K 2d9N 2d9P 2d9S 2d9T 2d9Y 2d9Z 2dcJ 2dcK 2dcS 2dcT,,X Z 2 3 8 9 B C D F G H 0 1 4 5,
CM-EN-Kolofata,1,,014P 014Y 014Z 015K 015S 015T 015Z 016J 016K 016N 016P 016S 016T 016Y 016Z 017J 017K 017N 017P 017S 017T 017Y 017Z 01cN 01cP 01cY 01dJ 01dK 01dN 01dP 01dS,,3 6 7 9 D F H J K L M N P Q R S T U V W X Y Z 2 0 1 8 4 B C 5,
CM-EN-Kousseri,1,,07aZ 07bK 07bP 07bS 07bT 07bY 07bZ 0d0N 0d1J 0d1N,,R T V W X Y Z 2 8 B,
CM-EN-Koza,1,,011J 011N 014J 014N 014P 014Y 014Z 2bbN 2bbP 2bbS 2bbT 2bbY 2bbZ 2beJ 2beK 2beP 2beS 2beT 2beY 2beZ 2bfK 2bfS,,8 B 0 2 3 6 7 U V 1 X Y Z J K M N P Q R T W,
CM-EN-LogoneBirni,1,,05R 05V 06M 06V 07H 07M 07R 07V 0cM 0dH,,Q R T V W X Y Z K N,
CM-EN-Maga,1,,05H 05M 2fR 2fV,,N P Y Z,
CM-EN-Makary,1,,0cH 0cM 0cR 0cV 0dH 0eH 0eM,,J K L M N S T,
CM-EN-Maroua1,1,,2b7Z 2bdN 2e0T 2e0Y 2e0Z 2e2J 2e2K 2e2N 2e2P 2e2S 2e2T 2e2Y 2e2Z 2e3J 2e3K 2e3P 2e3S 2e3T 2e3Y 2e3Z 2e8J,,Z B 5 6 7 J K L M N P Q R S T V W X Y 1 0,
CM-EN-Maroua2,1,,2e2Z 2e3T 2e8N 2e9J 2e9K,,R X 2 8 9,
CM-EN-Maroua3,1,,04H 2eH 2eM 2eR 2eV,,J S T U V,
CM-EN-Meri,1,,2bM 2bV 2eH 2eR,,F H S U,
CM-EN-Mindif,1,,2cR 2cV 2eH 2eM,,L M S T,
CM-EN-Mogode,1,,2a5P 2a5Y 2a5Z 2a7Y 2a7Z 2b0K 2b0N 2b0P 2b0S 2b0T 2b0Y 2b0Z 2b1K 2b1S 2b1T 2b2J 2b2K 2b2N 2b2P 2b2S 2b2T 2b2Y 2b2Z 2b3J 2b3K 2b3S 2b8J 2b8K 2b8N,,C G H Y Z 1 7 3 4 5 6 2 9 D F J K L M N P Q R S T W 0 8 B,
CM-EN-Mokolo,1,,01H 29V 2bH 2bM 2bR 2bV,,4 7 D F G H,
CM-EN-Mora,1,,01M 01V 04H 04M 04R 04V 2bV,,5 7 J K L M H,
CM-EN-Moulvoudaye,1,,2cV 2dR 2eM 2eV 2fH 2fR,,M Q T V W Y,
CM-EN-Moutourwa,1,,29dP 29dS 29dT 29dY 29dZ 29fJ 29fK 29fN 29fP 29fS 29fT 29fY 29fZ 2b5J 2b5N 2c8K 2c8S 2c8T 2c8Z 2caJ 2caK 2caN 2caP 2caS 2caT 2caY 2caZ 2e0J 2e0K 2e0N 2e0P,,C D F G H S T U V W X Y Z 8 B 6 4 5 7 J K L M N P Q R 0 1 2 3,
CM-EN-Mozogo,1,,011N 011P 011Y 011Z 013N 014J 014K 014N 014P 014S 014T 014Y 014Z 016J 016K 016N,,B C G H U 0 1 2 3 4 5 6 7 J K L,
